Wall time,Step,Value
1668253942.8706102,0,0.10614000260829926
1668253980.9811614,1,0.11101000010967255
1668254019.6695693,2,0.10558000206947327
1668254058.238749,3,0.11918999999761581
1668254096.7332194,4,0.14661000669002533
1668254135.408835,5,0.1117200031876564
1668254173.8549294,6,0.12905000150203705
1668254212.6695545,7,0.15172000229358673
1668254250.9883401,8,0.1548299938440323
1668254289.2376258,9,0.15539999306201935
1668254327.3675644,10,0.1872899979352951
1668254365.3641267,11,0.20635999739170074
1668254404.0427186,12,0.19905999302864075
1668254442.500101,13,0.2007399946451187
1668254480.8777893,14,0.20970000326633453
1668254519.330923,15,0.21731999516487122
1668254557.7006385,16,0.22012999653816223
1668254596.1806896,17,0.21980999410152435
1668254634.7372446,18,0.21604999899864197
1668254672.7447977,19,0.22082999348640442
1668254711.3308837,20,0.22056999802589417
1668254749.7631543,21,0.22811999917030334
1668254788.4411433,22,0.22972999513149261
1668254827.0772254,23,0.24315999448299408
1668254865.2755497,24,0.22139999270439148
1668254903.9951096,25,0.24071000516414642
1668254942.7032022,26,0.24323999881744385
1668254981.2331362,27,0.23333999514579773
1668255020.354064,28,0.23833000659942627
1668255058.50218,29,0.242139995098114
1668255097.3345926,30,0.2527799904346466
1668255135.7862022,31,0.2468400001525879
1668255174.6553435,32,0.2653999924659729
1668255213.3650622,33,0.2558499872684479
1668255251.172427,34,0.2699800133705139
1668255289.7660072,35,0.2760399878025055
1668255328.3362281,36,0.26142001152038574
1668255366.8997102,37,0.2885200083255768
1668255405.4681318,38,0.2973000109195709
1668255444.285323,39,0.28349000215530396
1668255482.7416224,40,0.28064000606536865
1668255521.0968587,41,0.27856001257896423
1668255559.6148467,42,0.2889400124549866
1668255598.1541827,43,0.29826000332832336
1668255636.5753927,44,0.299019992351532
1668255675.2793884,45,0.2791900038719177
1668255713.4622223,46,0.3019700050354004
1668255751.401025,47,0.3129599988460541
1668255789.8271806,48,0.29954999685287476
1668255828.5488856,49,0.3232100009918213
1668255866.9671612,50,0.3095000088214874
1668255905.4078205,51,0.32124999165534973
1668255943.8196177,52,0.32662999629974365
1668255982.4393508,53,0.3226099908351898
1668256020.9641824,54,0.32460999488830566
1668256058.9553874,55,0.33998000621795654
1668256097.846473,56,0.3247799873352051
1668256136.068863,57,0.3301999866962433
1668256174.7276626,58,0.3247700035572052
